customer,employee,date_created,account_number,balance,yearly_deposit_percentage,withdrawal_limit_percentage,withdrawal_count
Madge Leverette,Roanna Haysham,06/08/2021,6750,7743.07,19,12,20
Kassie Drivers,Rhiamon Liccardo,01/10/2022,5758,2115.41,17,17,9
Ileana Bauduin,Leticia Lindop,11/16/2020,1841,6094.81,12,18,13
Ileana Bauduin,Yolande Kain,11/26/2020,1504,2198.65,7,11,13
Donovan Roxbee,Jerald Hartness,11/30/2021,5924,9202.94,16,17,12
Kassie Drivers,Roanna Haysham,11/29/2020,6519,6914.42,11,17,15
Kiele Capener,Ashleigh Romaynes,12/29/2020,8516,7826.7,20,14,10
Edik Burgess,Sosanna MacRinn,11/22/2021,8539,4748.63,13,17,14
Elli Cohen,Quent Bevens,08/19/2021,1502,1993.94,13,13,11
Trude McDuff,Yolande Kain,07/01/2020,1729,6549.59,15,19,17
Julienne Hyett,Missie Fayne,04/26/2021,2440,9960.95,6,19,18
Jami Gibbs,Roddy Dysert,11/10/2020,7914,8803.44,14,14,5
Aubry Kuschke,Yolande Kain,09/13/2020,5981,4075.94,11,19,18
Alfreda Detheridge,Roanna Haysham,11/19/2020,2916,1234.79,19,11,11
Dolly Halsted,Karrie Pooly,09/07/2021,3853,7699.15,14,15,13
Pauli Rosterne,Rhiamon Liccardo,06/19/2021,7179,7635.18,20,19,3
Alexia Burlay,Missie Fayne,04/10/2022,9607,8206.11,12,15,12
Alix Manchester,Isahella Gianinotti,02/16/2022,2345,4759.14,20,10,17
Kandace Hurdis,Leticia Lindop,10/31/2020,2249,3090.19,17,18,5
Revkah Devall,Adrienne Robb,08/08/2021,4692,4881.0,6,18,6
Toni Skipton,Roddy Dysert,11/06/2021,5929,6199.38,18,13,8
Kiele Capener,Ashleigh Romaynes,01/26/2021,6962,7778.5,5,18,6
Nola Perulli,Yolande Kain,09/11/2021,9577,8434.13,12,14,3
Kipp Shercliff,Diane Tookill,12/30/2021,8178,2960.69,12,20,4
Tobe Trahear,Anett Lighterness,02/06/2021,7388,3273.98,19,16,2
Jami Gibbs,Kaylil Muzzillo,07/12/2021,9252,9153.85,10,13,6
Jami Gibbs,Locke Diano,02/25/2021,7953,5029.41,20,14,16
Saloma Orton,Diane Tookill,06/21/2021,6699,4626.34,15,19,19
Alfreda Detheridge,Diane Tookill,05/21/2020,4267,2506.46,16,13,8
Alyse Whimp,Beilul Southcoat,02/15/2021,8650,2505.23,15,10,6
Vinny Bevington,Ferne Fell,04/19/2022,9032,2198.18,7,10,15
Julienne Hyett,Christabella Kleinber,11/23/2021,7663,3219.4,16,20,18
Fawnia Jefford,Ferne Fell,04/04/2021,5292,3240.19,20,18,20
Vinny Bevington,Corina Newbegin,08/30/2021,6942,9373.79,13,14,18
Revkah Devall,Locke Diano,09/27/2020,6151,7966.1,7,11,5
Cassie Butter,Yolande Kain,02/08/2021,6878,9880.16,16,11,0
Reinold Gai,Gabby Wrotchford,03/28/2022,4779,7479.69,17,16,4
Indira Ladewig,Adrienne Robb,04/10/2021,4426,1070.24,19,14,13
Renate Sexstone,Gabby Wrotchford,05/05/2020,8587,2127.16,17,12,17
Darelle Hale,Roanna Haysham,10/10/2020,1203,6968.9,18,11,1
Maurice Huller,Corina Newbegin,03/26/2021,5312,2229.22,5,10,14
Fawnia Jefford,Zelma Esome,05/04/2021,8884,2316.39,16,13,10
Yvonne Dominico,Diane Tookill,03/26/2021,6701,7824.92,5,17,3
Toni Skipton,Roanna Haysham,04/15/2022,3642,5630.22,11,16,5
Robby Ellerby,Rhiamon Liccardo,04/18/2022,2429,5313.98,18,15,4
Indira Ladewig,Ashleigh Romaynes,01/26/2021,9920,4475.16,15,16,12
Gabe Sollom,Mace Stickens,11/05/2021,5218,1807.02,20,10,15
Hedda Gullan,Yolande Kain,01/03/2021,3576,7685.82,6,13,6
Blondy Florio,Ferne Fell,07/10/2020,6399,4008.92,16,20,5
Patti O'Cannan,Jerald Hartness,08/23/2020,3915,5285.82,5,16,6
Elli Cohen,Sosanna MacRinn,01/20/2022,9517,3781.4,19,18,16
Jamill Racine,Christabella Kleinber,06/16/2021,7126,5853.48,19,18,1
Kandace Hurdis,Yolande Kain,03/04/2022,5279,5019.34,7,13,19
Christoffer Coverdill,Roanna Haysham,05/04/2021,2334,7731.15,12,12,10
Fawn Yannoni,Anett Lighterness,08/08/2021,1814,8735.4,8,18,3
Alfreda Detheridge,Adrienne Robb,11/04/2020,6754,8769.23,5,11,19
Jess Belding,Anett Lighterness,08/09/2020,2914,3921.4,8,11,15
Alyse Whimp,Anett Lighterness,10/04/2021,6433,1467.39,15,10,15
Goran Dacks,Sosanna MacRinn,11/22/2021,7124,6561.9,8,18,11
Brodie Tallach,Missie Fayne,03/12/2021,9465,4009.59,16,15,19
Aleen Nanuccioi,Kaylil Muzzillo,11/01/2020,2100,8275.44,16,20,1
Reinold Gai,Beilul Southcoat,09/07/2020,6720,7753.94,17,18,7
Hyman Geist,Zelma Esome,01/17/2022,1352,1740.35,7,15,13
Jefferey Ceresa,Diane Tookill,07/28/2021,6992,8865.74,6,13,6
Perceval Pellett,Missie Fayne,01/23/2022,2920,3086.81,19,15,20
Gerhard Cianni,Isahella Gianinotti,02/20/2021,4434,4005.65,5,19,18
Trude McDuff,Christabella Kleinber,07/28/2020,1520,4605.64,19,18,13
Pauli Rosterne,Roanna Haysham,11/13/2021,6659,8630.44,19,10,1
Marabel Klaaasen,Yolande Kain,12/31/2021,3234,1019.4,12,17,18
Kandace Hurdis,Yolande Kain,11/17/2021,7197,4089.75,13,16,10
Datha Barsam,Beilul Southcoat,11/01/2021,7849,8769.28,17,15,19
Reinold Gai,Leticia Lindop,10/07/2020,1961,2738.53,11,13,17
Fawn Yannoni,Alvinia Bunten,02/16/2021,1644,9890.1,6,17,4
Alexio Alu,Sosanna MacRinn,08/05/2021,7991,2705.43,13,19,20
Kassie Drivers,Jerald Hartness,11/01/2021,1366,7726.19,7,19,18
Alyse Klagge,Corina Newbegin,11/26/2021,8132,9579.06,17,19,4
Aubry Kuschke,Diane Tookill,06/08/2020,2460,9397.21,12,16,7
Gerhard Cianni,Karrie Pooly,03/11/2021,6612,9748.18,14,18,9
Carree Pengelly,Roanna Haysham,08/21/2020,4804,6594.88,10,12,18
Abe Capel,Ashleigh Romaynes,07/24/2020,3541,3318.64,11,19,13
Farley Daynter,Sosanna MacRinn,06/17/2021,1846,3987.74,15,16,6
Ricky Corthes,Roddy Dysert,10/13/2021,8708,6087.12,14,10,6
Aleen Nanuccioi,Zelma Esome,02/17/2021,4622,6225.93,10,11,14
Philip Panniers,Roanna Haysham,09/09/2020,5844,6175.44,12,10,4
Kristine Rawlins,Gabby Wrotchford,09/02/2021,6823,5925.14,6,19,16
Carver O'Brollachain,Isahella Gianinotti,11/29/2021,6677,8676.48,8,13,10
Brodie Tallach,Missie Fayne,09/05/2020,6684,8526.8,15,19,10
Alix Manchester,Ashleigh Romaynes,05/01/2020,8813,6423.22,19,12,15
Ashia Mattheeuw,Yolande Kain,03/15/2021,2585,5500.3,8,12,3
Marie-ann Sharnock,Zelma Esome,03/21/2021,6538,9612.21,10,12,1
Westbrooke Pischel,Quent Bevens,12/17/2020,7143,3736.24,5,13,13
Hedda Gullan,Roddy Dysert,01/04/2021,8375,6503.23,11,18,0
Madge Leverette,Ferne Fell,08/18/2021,6223,8605.37,11,19,19
Patti O'Cannan,Zelma Esome,10/10/2020,5514,2972.51,20,14,7
Perceval Pellett,Sosanna MacRinn,03/08/2022,2580,4883.97,16,10,4
Nola Perulli,Adrienne Robb,07/07/2020,6809,5436.35,18,19,15
Yvonne Dominico,Alvinia Bunten,03/18/2021,1375,7628.67,17,17,15
Christoffer Coverdill,Karrie Pooly,08/30/2021,6148,8110.72,5,13,15
Alix Manchester,Roanna Haysham,04/16/2021,8837,8518.71,17,12,4
